"Nama Siswa","NISN","Saldo Awal"
"Ade Kurniawan","0091234601","50000"
"Anisa Rahmawati","0091234602","30000"
"Bagas Pratama","0091234603","100000"
"Bella Safitri","0091234604","0"
"Candra Wijaya","0091234605","75000"
"Daffa Ibnu Sina","0091234606","50000"
"Dewi Anggraeni","0091234607","25000"
"Erik Setiawan","0091234608","150000"
"Farah Diba","0091234609","40000"
"Gilang Ramadhan","0091234610","85000"
"Hana Salsabila","0091234611","60000"
"Ilham Maulana","0091234612","0"
"Jasmine Putri","0091234613","120000"
"Kevin Ardiansyah","0091234614","50000"
"Larasati Wulandari","0091234615","35000"
"M. Fathir Al-Ghifari","0091234616","90000"
"Nadira Maharani","0091234617","20000"
"Pasha Nugraha","0091234618","50000"
"Rania Azzahra","0091234619","100000"
"Satria Yudha","0091234620","0"
"Tiara Andini","0091234621","45000"
"Wahyu Hidayat","0091234622","65000"
"Yasmin Aulia","0091234623","30000"
"Zaki Al-Farizi","0091234624","80000"
"Zidan Al-Fatih","0091234625","110000"
