"Nama Siswa","NISN","Saldo Awal"
"Ahmad Rafif","0123456789","50000"
"Siti Aisyah","0987654321","0"
"Budi Santoso","0081234563","100000"
"Cantika Putri Maharani","0081234564","0"
"Dimas Aditya Nugraha","0081234565","75000"
"Eka Nurhaliza","0081234566","30000"
"Fajar Hidayat","0081234567","50000"
"Gita Permata Sari","0081234568","20000"
"Hafiz Ramadhan","0081234569","150000"
"Indah Lestari","0081234570","0"
"Joko Prasetyo","0081234571","40000"
"Keisha Aurelia","0081234572","85000"
"Lutfi Firmansyah","0081234573","60000"
"Maya Anggraini","0081234574","25000"
"Naufal Rizky Fauzan","0081234575","100000"
"Olivia Zahra","0081234576","50000"
"Pandu Wicaksono","0081234577","0"
"Qonita Salsabila","0081234578","35000"
"Raditya Bagus Pratama","0081234579","120000"
"Sabrina Dwi Cahyani","0081234580","50000"
"Taufik Kurrahman","0081234581","45000"
"Ulfa Khairunnisa","0081234582","20000"
"Viko Ardiansyah","0081234583","90000"
"Wulan Septiani","0081234584","0"
"Yoga Saputra","0081234585","50000"
"Zahra Amelia","0081234586","65000"
"Alifia Rahma","0081234587","30000"
"Bayu Segara","0081234588","100000"
"Citra Kirana","0081234589","50000"
"Danu Prasetya","0081234590","75000"
"Elsa Maharani","0081234591","20000"
"Farhan Maulana","0081234592","110000"
